title,location,price,bedrooms,bathrooms,link
4 Bed Villa in Karen Hardy,Karen Hardy,"KSh 75,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-karen-hardy-3555649
4 Bed Townhouse with Garage in Kilimani,Kilimani,"KSh 45,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kilimani-3536302
5 Bed Townhouse with Gym in Loresho,"Loresho, Westlands","KSh 118,500,000",5,6,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-loresho-3552459
5 Bed Townhouse with Gym in Lavington,Lavington,"KSh 120,000,000",5,,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3560676
4 Bed Townhouse with Aircon in Kyuna,"Kyuna, Westlands","KSh 94,000,000",4,5,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kyuna-3505623
5 Bed Villa with Garage at Lower Kabete,"Lower Kabete, Westlands","KSh 270,000,000",5,7,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-lower-kabete-3493249
5 Bed Townhouse with Garage in Lavington,Lavington,"KSh 48,500,000",5,6,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3559048
5 Bed Townhouse with Gym in Runda,"Runda, Westlands","KSh 70,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-runda-6-3440840
4 Bed Townhouse with Garage in Muthaiga,Muthaiga,"KSh 36,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-muthaiga-3494154
4 Bed Townhouse with Gym in Lavington,Lavington,"KSh 66,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-3532981
5 Bed Townhouse with Swimming Pool at Loresho,"Loresho, Westlands","KSh 118,000,000",5,6,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-loresho-3523728
5 Bed House with Gym at Mimosa Drive,"456, Mimosa Drive, Runda, Westlands","KSh 195,000,000",5,6,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3546151
3 Bed House with Swimming Pool at Fourways Junction Estate,"Fourways Junction Estate, Kiambu Road","KSh 25,000,000",3,2,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kiambu-road-6-3445652
3 Bed House with En Suite in Mombasa Road,"Sabaki Estate, Mombasa Road","KSh 15,000,000",3,2,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-mombasa-road-3537975
5 Bed Townhouse with Garage in Lavington,Lavington,"KSh 55,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3556116
5 Bed Townhouse with Gym in Loresho,"Loresho, Westlands","KSh 120,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-loresho-3558643
3 Bed House with Garage at Mushroom Gardens Road,"Mushroom Gardens Road, Kiambu Road","KSh 58,000,000",3,3,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kiambu-road-1-3476645
3 Bed Townhouse with Garage at Edenville Estate Phase 1,"Edenville Estate Phase 1, Kiambu Road","KSh 25,000,000",3,3,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-kiambu-road-3516701
5 Bed Townhouse with Garage in Lavington,Lavington,"KSh 100,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-3556012
4 Bed House with En Suite in Karen,Karen,"KSh 68,000,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3-3435155
5 Bed Villa with Swimming Pool at Amboseli Road,"amboseli road, Lavington","KSh 60,000,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-lavington-3558886
5 Bed Townhouse with Garage in Loresho,"Loresho, Westlands","KSh 64,500,000",5,5,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-loresho-2-3481457
4 Bed House with Gym at Fivestar Meadows Estate,"Fivestar Meadows Estate, Kiambu Road","KSh 38,500,000",4,4,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kiambu-road-3555597
